Brand Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories
Acer SA100,SATA/AHCI,"2.5""",120GB-1.92TB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560/500,Entry-Level SATA
Acer FA100,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,176,3300/2700,Entry-Level NVMe
Acer FA200,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7200/6200,
Acer GM3500,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96+,3400/3000,Mid-Range NVMe
Acer GM7,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,,7400/7300,
Acer GM7000 (Predator),x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400/6400,High-End NVMe
Acer RE100,SATA/AHCI,"2.5""",128GB-4TB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560/520,Entry-Level SATA
ADATA ATOM 30,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500/2000,Entry-Level NVMe
ADATA ATOM 40,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,,,,,,,,3500/3000,Mid-Range NVMe
ADATA ATOM 50,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000/4500,Mid-Range NVMe
ADATA Falcon,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Realtek RTS5762DL,"Dual-core, 8-ch, 4-CE/ch",No,Yes,Micron,TLC,96,3100/1500,Entry-Level NVMe
ADATA Legend 710,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2400/1800,Entry-Level NVMe
ADATA Legend 740,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500/2000,Entry-Level NVMe
ADATA Legend 750,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,,,3500/3000,Mid-Range NVMe
ADATA Legend 800,x4 PCIe 4.0/NVMe,M.2,,SMI SM2267XT,"Dual R5, 4x4",,,,,,3500/2800,Entry-Level NVMe
ADATA Legend 820,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,,,,,,,,5000/4500,
ADATA Legend 840,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000/4500,Mid-Range NVMe
ADATA Legend 850,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000/4500,Mid-Range NVMe
ADATA Legend 850 Lite,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,,TLC,,5000/4200,Mid-Range NVMe
ADATA Legend 900,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,232,7000/5400,
ADATA Legend 960/Max,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,No,Micron,TLC,176,7400/6800,High-End NVMe
ADATA Legend 970,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000/10000,High-End NVMe
ADATA Premium,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400/6800,High-End NVMe
ADATA Project Blackbird,x4 PCIe 5.0/NVMe,M.2,,InnoGrit IG5666,,,,,,,,
ADATA Project NeonStorm,x4 PCIe 5.0/NVMe,M.2,1TB-8TB,SMI SM2508,,Yes,No,Micron,TLC,232,14000/12000,High-End NVMe
ADATA Project Nighthawk,x4 PCIe 5.0/NVMe,M.2,,SMI SM2508,,,,,,,14000/?,
ADATA S20G,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,,TLC,,2500/1800,Entry-Level NVMe
ADATA S40G,x4 PCIe 3.0/NVMe,M.2,256GB-4TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500/3000,Mid-Range NVMe
ADATA S50,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
ADATA S50 Lite,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,SMI SM2267,"DC (28nm R5), 4-ch, 8-CE/ch",Yes,No,Micron,TLC,96,3900/3200,Mid-Range NVMe
ADATA S70/S70 Blade,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Innogrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,96,7400/6400,High-End NVMe
ADATA SC680,USB 3.2 Gen 2x1,USB-C,240GB-2TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC/QLC,64,530/460,Entry-Level SATA
ADATA SD600Q,USB 3.2 Gen 1x1,USB-A,240GB-960GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,Micron,QLC,64,440/430,Entry-Level SATA
ADATA SD700,USB 3.2 Gen 1x1,USB-A,256GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32/64,440/430,Entry-Level SATA
ADATA SD810,USB 3.2 Gen 2x2,USB-C,500GB-4TB,,,,,,,,2000/2000,
ADATA SE760,USB 3.2 Gen 2x1,USB-C,256GB-1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,64,1000/1000,Entry-Level NVMe
ADATA SE800,USB 3.2 Gen 2x1,USB-C,512GB-1TB,InnoGrit IG5208,"Single R5, 4x4",No,Yes,Micron,TLC,64,1000/1000,Entry-Level NVMe
ADATA SE880,USB 3.2 Gen 2x2,USB-C,500GB-1TB,,,,,,,,2000/2000,Entry-Level NVMe
ADATA SE900G,USB 3.2 Gen 2x2,USB-C,512GB-2TB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96,2000/2000,Mid-Range NVMe
ADATA SE920,USB 4,USB-C,1TB-2TB,,,,,,,,3800/3700,
ADATA SU630/SU635,SATA/AHCI,"2.5""",240GB-960GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,Micron,QLC,64,520/450,Entry-Level SATA
ADATA SU650/SU655,SATA/AHCI,"2.5""",60GB-960GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,32/64,520/450,Entry-Level SATA
ADATA SU670,SATA/AHCI,"2.5""",,Realtek RTS5735DLQ,2-ch,,,,,,550/440,Entry-Level SATA
