Brand Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories
Gigabyte NVMe v2,x4 PCIe 3.0/NVMe,M.2,128GB-1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,2500/2100,Entry-Level NVMe
Gigabyte SSD,SATA/AHCI,"2.5""",120GB-1TB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,550/500,Entry-Level SATA
Gigabyte UD Pro,SATA/AHCI,"2.5""",256GB-512GB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,530/500,Mid-Range SATA
Gigabyte Vision Drive,USB 3.2 Gen2x1,USB-C,1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,,2000/2000,Mid-Range NVMe
Goodram IRDM Pro,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7000/6850,High-End NVMe
Goodram IRDM Ultimate,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,,,,,High-End NVMe
Goodram IRDM Ultimate X,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4500,Mid-Range NVMe
Goodram PX500,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2050/1650,Entry-Level NVMe
Goodram PX600,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,,,,,,,,5000/4200,Mid-Range NVMe
Goodram PX700,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,,,,,,,,7400/6500,
Greenliant ArmourDrive,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,,,,2500/2100,Entry-Level NVMe
Fantom VENOM8,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,,High-End NVMe
Fantom VENOMX,x4 PCIe 4.0/NVMe,,1TB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,QLC,176,5100/2600,Mid-Range NVMe
HIKVision C2000,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3500/3000,Mid-Range NVMe
HP EX900,x4 PCIe 3.0/NVMe,M.2,120GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2100/1500,Entry-Level NVMe
HP EX900 Plus,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,,3300/2700,Entry-Level NVMe
